Helység,Törzskörméret (cm),Megye,GPS adat,Mérés éve,Faj,"Megjegyzés, újabb mérés, nyomravezető"
Kunszentmárton,667,Jász-Nagykun-Szolnok,"46,49,19-20,14,53",2025,fekete nyár,"Balczó Tamás, Buzás Csobán"
Hajós,667,Bács-Kiskun,"46,24,02-19,09,35",2019,fekete nyár,Elblinger Ferenc
Szekszárd,667,Tolna,"46,19,45-18,50,40",2010,fekete nyár,Elblinger Ferenc; 2023: kivágták
Algyő,667,Csongrád,"46,22,44-20,12,31",2020,fekete nyár,
Mindszent,667,Csongrád,"46,33,01-20,09,42",2025,fekete nyár,
Rákóczifalva,667,Jász-Nagykun-Szolnok,"47,04,09-20,11,09",2011,fekete nyár,"Drinóczi Gábor, Szél Győző"
Gemenc,667,Bács-Kiskun,"46,15,22-18,54,36",2018,fekete nyár,"Elblinger Ferenc, Veránka-szigeten"
Parádfürdő,667,Heves,"47,55,26-20,03,42",2007,,
Ásványráró,667,Győr-Moson-Sopron,"47,48,27-17,33,52",2021,fekete nyár,Szél Győző
Rácalmás,667,Fejér,"46,59,54-18,56,54",2021,fekete nyár,Baranyai László
Csongrád,666,Csongrád,"46,39,40-20,11,26",2019,fekete nyár,"Olajos Sándor, Lestyán Csaba; magasság: 29 m/2019"
Szigetvár,666,Baranya,"46,03,07-17,47,51",2009,fekete nyár,Lukács Róbert
Ásványráró,666,Győr-Moson-Sopron,"47,50,10-17,31,04",2021,fekete nyár,Szél Győző
Tiszabecs,666,Szabolcs-Szatmár-Bereg,"48,06,52-22,49,21",2009,fekete nyár,Barcánfalvi Péter
Sándorfalva,666,Csongrád,"46,24,02-20,11,26",2019,fekete nyár,
Vezseny,666,Jász-Nagykun-Szolnok,"47,02,36-20,15,14",2022,fekete nyár,Wilhelm Ákos
Tokaj,666,Borsod-Abaúj-Zemplén,"48,05,24-21,26,33",2017,fekete nyár,Zsiros Sándor
Dunapataj,666,Bács-Kiskun,"46,39,44-18,58,56",2018,fekete nyár,Szél Győző
Barcs,665,Somogy,"45,56,29-17,21,23",2023,fekete nyár,Szél Győző
Bagamér,665,Hajdú-Bihar,"47,28,05-22,00,03",2007,fehér nyár,673/2016 - kérge egy része leesett
Algyő,665,Csongrád,"46,21,01-20,12,06",2023,fekete nyár,
Rákóczifalva,665,Jász-Nagykun-Szolnok,"47,04,09-20,11,09",2011,fekete nyár,"Drinóczi Gábor, Szél Győző"
Himod,665,Győr-Moson-Sopron,"47,31,23-16,58,52",2018,fekete nyár,
Somogyvár,664,Somogy,"46,34,47-17,38,27",2007,fehér nyár,
Mezőberény,664,Békés,"46,51,55-21,03,54",2025,fekete nyár,Varga Zoltán; magasság: 32 m/2025
Gemenc,664,Bács-Kiskun,"46,14,55-18,54,13",2018,fekete nyár,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten"
Hódmezővásárhely,663,Csongrád,"46,27,21-20,12,59",2008,fekete nyár,727/2025jan
Hercegszántó (Karapancsa),662,Bács-Kiskun,"45,56,28-18,51,36",2009,fekete nyár,"Először magasn mérte, dudor felett. 760 cm/2017 tövénél mérve."
Vejti,662,Baranya,"45,47,36-17,58,50",2016,fekete nyár,Lukács Róbert
Bakonykúti,662,Fejér,"47,14,38-18,11,52",2012,fekete nyár,Baranyai László
Gemenc,662,Tolna,"46,10,17-18,48,32",2012,fekete nyár,Elblinger Ferenc
Barcs,661,Somogy,"45,56,46-17,25,11",2012,fekete nyár,Zombori Zoltán
Szentes,661,Csongrád,"46,37,22-20,10,51",2025,fekete nyár,
Tahitótfalu,661,Pest,"47,48,37-19,03,59",2016,szürke nyár,Szél Győző
Dóc**,660,Csongrád,"46,28,45-20,11,43",2021,fekete nyár,
Szegvár,660,Csongrád,"46,34,49-20,08,58",2025,fekete nyár,
Gemenc,660,Bács-Kiskun,"46,10,32-18,52,51*",2021,fekete nyár,
Balatonboglár,660,Somogy,"46,46,11-17,37,34",2013,fekete nyár,Sólyom Attila
Szentes,660,Csongrád,"46,37,37-20,10,33",2022,fekete nyár,Egy alacsonyan kiágazó résszel együtt 957 cm/2022.
Tokaj,660,Borsod-Abaúj-Zemplén,"48,05,40-21,25,58",2017,fekete nyár,
Szentes,660,Csongrád,"46,37,54-20,11,09",2025,fekete nyár,
Barcs,660,Somogy,"45,57,13-17,25,30",2022,fekete nyár,Szél Győző
Lipót,660,Győr-Moson-Sopron,"47,51,56-17,31,11",2013,fekete nyár,Szél Győző
Csongrád**,660,Csongrád,"46,40,33-20,12,46",2023,fekete nyár,1 m-en kétfelé ágazik.
Csongrád,660,Csongrád,"46,40,11-20,13,10",2023,fekete nyár,
Sándorfalva,660,Csongrád,"46,23,51-20,12,11",2002,fehér nyár,alacsonyan szétágazó; 2019: már nincsen meg
Lórév,660,Pest,"47,07,10-18,53,12",2015,fekete nyár,"Baranyai László; széthasadt, kis rész még áll"
Madocsa,659,Tolna,"46,38,24-18,56,08",2024,fekete nyár,Tarczal János (Madocsáért Környezetvédelmi és Kulturális Értékőrző Egyesület)
Szegvár,659,Csongrád,"46,36,09-20,10,07",2025,fekete nyár,
Szentes**,659,Csongrád,"46,37,59-20,10,19",2023,fekete nyár,1 m-en háromfelé ágazik
Szegvár,658,Csongrád,"46,34,48-20,10,18",2007,fekete nyár,"Őze Péter; 700/2025 - még áll, de halott"
Mártély,658,Csongrád,"46,28,01-20,12,24",2025,fekete nyár,
Szentes,657,Csongrád,"46,37,29-20,10,36",2022,fekete nyár,
Sándorfalva,657,Csongrád,"46,23,54-20,12,07",2019,fekete nyár,magasság: 39 m/2019
Mindszent,657,Csongrád,"46,32,58-20,09,55",2025,fekete nyár,
Harta,657,Bács-Kiskun,"46,41,34-19,00,40",2018,fekete nyár,Szél Győző; magasság: 35 m/2018
Tököl,656,Pest,"47,19,27-18,56,53",2016,fekete nyár,Baranyai László
Barcs,656,Somogy,"45,57,09-17,26,53",2009,fekete nyár,"Szél Győző, magasság 33 m/2011; 710/2022"
Gemenc,656,Bács-Kiskun,"46,11,01-18,55,15",2010,fekete nyár,Elblinger Ferenc; 676/2014
Csongrád,656,Csongrád,"46,42,52-20,09,45",2026,fekete nyár,
Kisköre,656,Heves,"47,28,32-20,30,21",2025,fekete nyár,Baranyai László
Lórév,655,Pest,"47,06,58-18,53,20",2026,fekete nyár,Baranyai László
Mezőberény,655,Békés,"46,50,26-21,06,16",2026,fekete nyár,Varga Zoltán
Babócsa,655,Somogy,"45,58,08-17,19,21",2006,fekete nyár,"Detrich Miklós, Kálsec Imre"
Szentes,655,Csongrád,"46,39,30-20,11,58",2025,fekete nyár,
Tiszaug,655,Bács-Kiskun,"46,51,28-20,01,52",2026,fekete nyár,"Balczó Tamás, Buzás Csobán"
Bakonykúti,655,Fejér,"47,14,39-18,11,54",2012,fekete nyár,Baranyai László
Barcs,655,Somogy,"45,57,01-17,22,38",2023,fekete nyár,Szél Győző
Kisköre,655,Heves,"47,28,33-20,30,21",2025,fekete nyár,Baranyai László
Algyő,654,Csongrád,"46,21,53-20,11,40",2020,fekete nyár,
Fenékpuszta,654,Zala,"46,42,32-17,15,11",2010,fehér nyár,
Szegvár,654,Csongrád,"46,34,57-20,09,49",2025,fekete nyár,
Szentes,654,Csongrád,"46,39,28-20,11,53",2025,fekete nyár,
Szentes,653,Csongrád,"46,39,26-20,11,44",2025,szürke nyár,"Kéttörzsű, 1,5 m-ig egyben van."
Hódmezővásárhely,653,Csongrád,"46,25,13-20,12,21",2019,fekete nyár,
Kisköre,653,Heves,"47,28,37-20,30,30",2025,fekete nyár,Baranyai László
Gemenc,652,Tolna,"46,17,15-18,51,47",2012,fekete nyár,Elblinger Ferenc
Dunapataj,652,Bács-Kiskun,"46,39,40-18,58,43",2018,fekete nyár,Szél Győző
Makád,652,Pest,"47,05,49-18,53,43",2026,fekete nyár,Baranyai László
Hercegszántó (Karapancsa),652,Bács-Kiskun,"45,56,15-18,52,50",2017,fekete nyár,"Torma Zoltánné, Torma Zoltán; magasság: 34 m/2017"
Gemenc,652,Bács-Kiskun,"46,14,09-18,53,13",2011,fekete nyár,Elblinger Ferenc
Dóc,652,Csongrád,"46,28,44-20,11,42",2021,fekete nyár,
Csongrád,651,Csongrád,"46,44,56-20,06,28",2026,fehér nyár,
Gemenc,651,Tolna,"46,18,06-18,53,12",2010,fekete nyár,"Elblinger Ferenc, Dombi Imre"
Szekszárd,651,Tolna,"46,20,02-18,48,43",2009,fekete nyár,Elblinger Ferenc; 2023: kivágták
Dunaszentbenedek,651,Bács-Kiskun,"46,36,39-18,51,57",2020,fekete nyár,Baranyai László
Drávakeresztúr (Révfalu),651,Baranya,"45,49,36-17,45,36",2010,fekete nyár,Szél Győző
Szentes,651,Csongrád,"46,38,38-20,11,27",2025,fekete nyár,
Baks,650,Csongrád,"46,32,58-20,09,19",2017,fekete nyár,Közvetlenül mellette egy 611 cm-es nyár.
Gemenc,650,Bács-Kiskun,"46,15,27-18,54,33",2018,szürke nyár,Elblinger Ferenc; Veránka-szigeten; magasság: 35 m/2018
Hódmezővásárhely**,650,Csongrád,"46,26,41-20,12,03",2025,fekete nyár,
Szegvár,650,Csongrád,"46,36,32-20,10,12",2025,fekete nyár,magasság: 38 m/2025
Szeged,650,Csongrád,"46,15,45-20,12,48",2024,fekete nyár,
Baks,650,Csongrád,"46,33,44-20,08,10",2022,fekete nyár,
Nyalka,650,Győr-Moson-Sopron,"47,31,40-17,48,01",2019,nyárfa,"Komka Péter, Torma Zoltánné, Torma Zoltán; magasság: 32 m/2019"
Gemenc,649,Tolna,"46,20,40-18,53,29",2011,fekete nyár,Elblinger Ferenc
Szelevény,648,Jász-Nagykun-Szolnok,"46,47,57-20,13,29",2025,fekete nyár,
Szegvár,648,Csongrád,"46,33,50-20,08,45",2025,fekete nyár,
Nagybajcs,648,Győr-Moson-Sopron,"47,46,12-17,41,25",2021,fekete nyár,Szél Győző
Csongrád,648,Csongrád,"46,47,37-20,03,36",2023,fekete nyár,
Zsana,648,Bács-Kiskun,"46,24,15-19,42,35",2020,fekete nyár,Bazsa Sándor; magasság: 26 m/2020
Gelse,647,Zala,"46,34,49-16,59,01",2018,fekete nyár,"Torma Zoltánné, Torma Zoltán"
Köröstarcsa,647,Békés,"46,53,19-21,01,55",2008,fekete nyár,
Ugod,646,Veszprém,"47,18,55-17,41,24",2017,szürke nyár,Tóth Sándor; magasság: 33 m/2017
Koppánymonostor,646,Komárom-Esztergom,"47,45,03-18,01,51",2021,fekete nyár,Szél Győző
Szentes,646,Csongrád,"46,37,06-20,10,47",2025,fekete nyár,
Szeged,645,Csongrád,"46,17,42-20,14,54",2019,fekete nyár,
Koppánymonostor,645,Komárom-Esztergom,"47,45,06-18,02,00",2021,fekete nyár,Szél Győző
Barcs,645,Somogy,"45,56,35-17,21,34",2023,fekete nyár,Szél Győző
Baks,645,Csongrád,"46,33,46-20,08,29",2022,fekete nyár,
Gemenc,644,Tolna,"46,18,56-18,53,25",2010,fekete nyár,"Elblinger Ferenc, Dombi Imre"
Vezseny,644,Jász-Nagykun-Szolnok,"47,02,43-20,15,03",2022,fekete nyár,Wilhelm Ákos; magasság: 40 m/2022
Szegvár,644,Csongrád,"46,36,10-20,10,06",2025,fekete nyár,
Szentes,644,Csongrád,"46,38,28-20,11,24",2025,fekete nyár,
Békés,644,Békés,"46,48,08-21,08,06",2025,szürke nyár,Varga Zoltán; magasság: 29 m/2025
Gemenc,644,Tolna,"46,10,22-18,49,23",2009,fekete nyár,Elblinger Ferenc
Kunszentmárton,643,Jász-Nagykun-Szolnok,"46,48,28-20,13,29",2025,fekete nyár,"Balczó Tamás, Buzás Csobán"
Szentes,643,Csongrád,"46,42,52-20,11,37",2025,fekete nyár,
Ráckeve,643,Pest,"47,10,55-18,52,58",2019,fekete nyár,Baranyai László; magasság: 36 m/2019
Ásványráró,643,Győr-Moson-Sopron,"47,49,08-17,32,50",2021,fekete nyár,Szél Győző
Szekszárd,642,Tolna,"46,20,08-18,47,49",2009,fekete nyár,Elblinger Ferenc
Algyő,642,Csongrád,"46,20,35-20,13,13",2020,fekete nyár,130 cm-en egy ága elválik; hibrid nyár
Hódmezővásárhely,642,Csongrád,"46,25,55-20,11,55",2019,fekete nyár,magasság: 33 m/2019
Tét,642,Győr-Moson-Sopron,"47,33,58-17,27,44",2021,fekete nyár,
Hódmezővásárhely,642,Csongrád,"46,27,38-20,12,42",2008,fekete nyár,690/2025
Lórév,642,Pest,"47,06,56-18,53,16",2026,fekete nyár,Baranyai László
Gemenc,642,Tolna,"46,18,33-18,54,50",2015,fekete nyár,Barabás Tamás
Kunszentmárton,641,Jász-Nagykun-Szolnok,"46,48,33-20,13,38",2025,fekete nyár,"Balczó Tamás, Buzás Csobán"
Kunszentmárton,641,Jász-Nagykun-Szolnok,"46,48,55-20,14,26",2025,fekete nyár,"Balczó Tamás, Buzás Csobán"
Gemenc,641,Bács-Kiskun,"46,10,39-18,53,32",2012,fekete nyár,Elblinger Ferenc
Kisköre,641,Heves,"47,28,00-20,28,49",2025,fekete nyár,Szél Győző
Ercsi,641,Fejér,"47,10,59-18,52,26",2021,fekete nyár,Baranyai László
Hódmezővásárhely,641,Csongrád,"46,25,19-20,11,39",2016,fekete nyár,Három törzsből kettő összenőve.
Hódmezővásárhely,641,Csongrád,"46,26,40-20,13,13",2025,fekete nyár,
Csongrád,641,Csongrád,"46,43,23-20,08,29",2022,fekete nyár,
Szaporca,640,Baranya,"45,46,39-18,06,06",2025,fekete nyár,Torma Zoltán
Barcs/Kisbók,640,Somogy,"45,56,39-17,31,23",2009,szürke nyár,"Szél Győző, Gujzer Tibor; 679/2016"
Gemenc,640,Tolna,"46,18,28-18,55,00",2011,fekete nyár,Elblinger Ferenc
Lipót,640,Győr-Moson-Sopron,"47,51,35-17,29,31",2013,fekete nyár,Szél Győző
Budapest,640,Pest,"47,33,12-19,04,00",2025,fekete nyár,"Szél Győző, Daniló Eszter; Baráth Miklós"
Vejti,640,Baranya,"45,47,34-17,58,55",2024,fekete nyár,
Gemenc,640,Bács-Kiskun,"46,10,54-18,54,34",2014,fekete nyár,Lukács Róbert
Algyő,640,Csongrád,"46,21,12-20,11,49",2024,fekete nyár,
Csongrád,639,Csongrád,"46,43,03-20,10,21",2026,fekete nyár,
Lórév,639,Pest,"47,07,01-18,53,16",2015,fekete nyár,Baranyai László; 2026: kidőlt
Dóc,638,Csongrád,"46,27,43-20,12,20",2021,fekete nyár,
Ásványráró,638,Győr-Moson-Sopron,"47,49,10-17,32,48",2021,fekete nyár,Szél Győző
Szekszárd,638,Tolna,"46,20,11-18,47,24",2009,fekete nyár,Elblinger Ferenc.
Drávakeresztúr (Révfalu),638,Baranya,"45,49,33-17,45,33",2010,fekete nyár,Szél Győző
Baks**,638,Csongrád,"46,29,38-20,10,55",2021,fekete nyár,
Dunapataj,638,Bács-Kiskun,"46,39,42-18,58,47",2018,fekete nyár,Szél Győző
Szőlősgyörök,638,Somogy,"46,42,51-17,40,15",2012,fehér nyár,Sólyom Attila; 649/2020; magasság: 37 m/2020
Dunakiliti,638,Győr-Moson-Sopron,"47,57,26-17,14,57",2021,fekete nyár,Szél Győző; alacsonyan elágazó résszel 893 cm
Dunapataj,638,Bács-Kiskun,"46,40,03-18,59,11",2018,fekete nyár,Szél Győző
Rum,637,Vas,"47,07,25-16,50,51",2006,fekete nyár,2018-ban már nincsen meg (Takács Márton)
Bagamér,637,Hajdú-Bihar,"47,28,06-22,00,04",2007,fehér nyár,"629/2016 - kérge leesett, lábon áll, de halott"
Dóc,637,Csongrád,"46,28,44-20,11,44",2021,fekete nyár,
Algyő,637,Csongrád,"46,18,42-20,14,11",2024,fekete nyár,négyes ikertörzs
Verőce,637,Pest,"47,49,03-19,03,35",2014,fekete nyár,Szél Győző
Békés,637,Békés,"46,50,12-21,06,30",2026,szürke nyár,Varga Zoltán
Dóc,636,Csongrád,"46,26,42-20,11,38",2021,fekete nyár,150 cm-en kétfelé ágazik.
Békés,636,Békés,"46,48,46-21,06,48",2026,fekete nyár,Varga Zoltán
Gemenc,636,Bács-Kiskun,"46,11,00-18,55,01",2014,fekete nyár,Tóth Gábor
Gemenc,636,Bács-Kiskun,"46,11,39-18,53,15",2014,fekete nyár,
Csongrád**,636,Csongrád,"46,43,04-20,08,59",2026,fekete nyár,"jegenyenyár, többtörzsű"
Mindszent,636,Csongrád,"46,33,19-20,09,21",2025,fekete nyár,
Sárvár,635,Vas,"47,14,26-16,55,31",2007,fekete nyár,
Gemenc,635,Tolna,"46,16,25-18,53,14",2017,fekete nyár,Elblinger Ferenc; magasság: 33 m/2017
Lórév,635,Pest,"47,07,09-18,53,13",2026,fekete nyár,Baranyai László
Algyő,635,Csongrád,"46,23,46-20,12,16",2024,fekete nyár,
Kehidakustány,635,Zala,"46,50,44-17,05,35",2005,fekete nyár,2020: csak a csonkja van meg.
Poroszló,634,Heves,"47,38,39-20,45,37",2026,fekete nyár,"Baranyai László, Baráth Miklós"
Baks,634,Csongrád,"46,33,14-20,08,47",2022,fekete nyár,
Kerekegyháza,633,Bács-Kiskun,"46,57,16-19,27,24",2012,fekete nyár,"Lesti Szabolcs, Szél Győző; jegenyenyár"
Szegvár,633,Csongrád,"46,34,49-20,10,23",2025,fekete nyár,
Vezseny,633,Jász-Nagykun-Szolnok,"47,02,35-20,15,34",2022,fekete nyár,Wilhelm Ákos
Szentes,633,Csongrád,"46,36,51-20,10,29",2025,fekete nyár,
Hódmezővásárhely,633,Csongrád,"46,24,22-20,12,01",2022,fekete nyár,
Kisköre,632,Heves,"47,28,01-20,28,53",2025,fekete nyár,Szél Győző
Hódmezővásárhely,632,Csongrád,"46,23,24-20,12,37",2024,fekete nyár,
Hódmezővásárhely,632,Csongrád,"46,24,42-20,11,36",2016,fekete nyár,
Gemenc,632,Bács-Kiskun,"46,13,51-18,52,33",2018,fekete nyár,"Szutorcsik Dávid, Torma Zoltán, Elblinger Ferenc, Veránka-szigeten"
Csányoszró,632,Baranya,"45,53,22-17,55,13",2020,fekete nyár,"Torma Zoltánné, Torma Zoltán"
Barcs,632,Somogy,"45,56,38-17,24,43",2011,fekete nyár,Lukács Róbert
Dunapataj,632,Bács-Kiskun,"46,40,12-18,59,15",2018,fekete nyár,Szél Győző
Székesheférvár,631,Fejér,"47,10,16-18,24,39",2008,fekete nyár,Baranyai László; alacsonyan elágazó; Takács Márton: 2014-ben elpusztulva.
Szarvas,631,Békés,"46,54,58-20,33,06",2024,fekete nyár,"Balczó Tamás, Buzás Csobán"
Makád,631,Pest,"47,05,45-18,53,44",2026,fekete nyár,Baranyai László
Sárvár,631,Vas,"47,14,38-16,56,38",2003,fekete nyár,660/2008; 684/2012; 702/2014
Szegvár,631,Csongrád,"46,35,14-20,10,07",2025,fekete nyár,
Mezőberény,631,Békés,"46,51,45-21,03,55",2025,fekete nyár,Varga Zoltán
Algyő,631,Csongrád,"46,19,50-20,13,23",2024,fekete nyár,
Szeged,630,Csongrád,"46,11,40-20,06,40",2021,fehér nyár,
Csongrád,630,Csongrád,"46,43,14-20,09,26",2026,fekete nyár,
Szegvár,630,Csongrád,"46,35,14-20,10,07",2025,fekete nyár,
Mártély,630,Csongrád,"46,28,00-20,12,49",2020,fekete nyár,magasság: 34 m/2020
Mohács,630,Baranya,"45,57,55-18,44,17",2018,fekete nyár,Szél Győző
Lórév,630,Pest,"47,06,46-18,53,22",2015,fekete nyár,Baranyai László
Békés,630,Békés,"46,48,02-21,07,56",2025,fekete nyár,Varga Zoltán
Pácin,630,Borsod-Abaúj-Zemplén,"48,19,59-21,49,39",2009,fehér nyár,Molnár Bence
Gemenc,630,Bács-Kiskun,"46,10,31-18,51,58",2014,fekete nyár,Tóth Gábor
Szentes,630,Csongrád,"46,38,11-20,11,21",2025,fekete nyár,
Bagamér,630,Hajdú-Bihar,"47,28,07-22,00,05",2007,fehér nyár,637/2016
Csongrád,629,Csongrád,"46,39,32-20,11,17",2019,fekete nyár,"Olajos Sándor, Lestyán Csaba; magasság: 32 m/2019; 644/2023"
Algyő,629,Csongrád,"46,18,51-20,13,49",2024,fekete nyár,
Gemenc,628,Tolna,"46,18,21-18,54,22",2011,fekete nyár,Kovács Gábor; 641/2015
Kisszentmárton,628,Baranya,"45,46,43-18,02,25",2016,fekete nyár,Lukács Róbert
Ercsi,628,Fejér,"47,11,17-18,52,35",2021,fekete nyár,Baranyai László
Tahitótfalu,627,Pest,"47,47,30-19,04,25",2016,fekete nyár,Szél Győző
Csongrád,627,Csongrád,"46,44,54-20,06,20",2023,fekete nyár,
Szentes,627,Csongrád,"46,42,50-20,11,50",2025,fekete nyár,
Kisköre,627,Heves,"47,28,47-20,30,32",2025,fekete nyár,Baranyai László
Hódmezővásárhely,626,Csongrád,"46,24,31-20,13,23",2019,fekete nyár,
Szentes,626,Csongrád,"46,38,14-20,11,16",2025,fekete nyár,
Tököl,626,Pest,"47,19,19-18,56,46",2016,fekete nyár,Baranyai László
Hódmezővásárhely,626,Csongrád,"46,25,04-20,13,37",2019,fekete nyár,
Tiszaug,626,Bács-Kiskun,"46,50,56-20,01,01",2026,fekete nyár,"Balczó Tamás, Buzás Csobán"
Algyő,626,Csongrád,"46,23,02-20,12,22",2020,fekete nyár,
Kapuvár,625,Győr-Moson-Sopron,"47,39,49-17,06,07",2024,fekete nyár,Teket Attila
Baks,625,Csongrád,"46,33,10-20,08,55",2017,fekete nyár,
Algyő,625,Csongrád,"46,19,05-20,13,31",2024,fekete nyár,
Baks,625,Csongrád,"46,30,44-20,10,48",2021,fekete nyár,
Hódmezővásárhely,625,Csongrád,"46,26,30-20,11,58",2006,fekete nyár,657/2019febr; magasság: 39 m/2019
Szegvár,625,Csongrád,"46,34,43-20,09,58",2007,fekete nyár,Őze Péter; 729/2025
Baks,625,Csongrád,"46,30,44-20,10,48",2021,fekete nyár,
Szarvas,625,Békés,"46,54,49-20,33,38",2024,fekete nyár,"Balczó Tamás, Buzás Csobán"
Solt,624,Bács-Kiskun,"46,45,15-18,59,24",2018,fekete nyár,Szél Győző
Felgyő,624,Csongrád,"46,37,12-20,09,30",2022,fekete nyár,
Szentes,624,Csongrád,"36,38,22-20,11,12.6",2025,fekete nyár,
Ásványráró,624,Győr-Moson-Sopron,"47,48,46-17,33,11",2021,fekete nyár,Szél Győző
Vezseny,624,Jász-Nagykun-Szolnok,"47,02,34-20,15,31",2022,fekete nyár,Wilhelm Ákos
Ráckeve,623,Pest,"47,09,10-18,52,40",2019,fekete nyár,Baranyai László
Kisköre,623,Heves,"47,28,36-20,30,26",2025,fekete nyár,Baranyai László
Lengyeltóti,623,Somogy,"46,40,04-17,39,12",2016,szürke nyár,Sólyom Attila
Ásványráró,623,Győr-Moson-Sopron,"47,48,15-17,34,53",2021,fekete nyár,Szél Győző
Dunaszentpál,623,Győr-Moson-Sopron,"47,45,40-17,30,45",2021,fekete nyár,Szél Győző; magasság: 30 m/2021
Gemenc,623,Tolna,"46,18,08-18,52,08",2012,fekete nyár,Elblinger Ferenc
Barcs,623,Somogy,"45,58,12-17,23,18",2010,fehér nyár,Szél Győző
Gór,623,Vas,"47,21,31-16,47,56",2007,fekete nyár,
Martfű,623,Jász-Nagykun-Szolnok,"47,01,27-20,14,37",2023,fekete nyár,Csősz Gréta
Hódmezővásárhely,622,Csongrád,"46,25,51-20,13,53",2007,fekete nyár,
Felgyő,622,Csongrád,"46,37,48-20,10,46",2022,fekete nyár,
Tószeg,622,Jász-Nagykun-Szolnok,"47,06,59-20,09,52",2023,fekete nyár,Lesti Szabolcs
Mindszent,622,Csongrád,"46,29,43-20,11,11",2025,fekete nyár,
Lipót,622,Győr-Moson-Sopron,"47,51,30-17,31,00",2021,fekete nyár,Szél Győző
Szeged,621,Csongrád,"46,17,33-20,14,50",2019,fekete nyár,
Solt,620,Bács-Kiskun,"46,45,23-18,59,30",2018,fehér nyár,Szél Győző
Csongrád,620,Csongrád,"46,45,15-20,06,11",2026,fekete nyár,
Barcs,620,Somogy,"45,56,32-17,24,45",2011,fekete nyár,Lukács Róbert
Nyergesújfalu,620,Komárom-Esztergom,"47,45,22-18,31,53",2006,fekete nyár,650/2015
Algyő,620,Csongrád,"46,21,12-20,12,29",2020,fekete nyár,kettős törzsű; 640/2024
Hódmezővásárhely,620,Csongrád,"46,26,20-20,12,53",2025,fekete nyár,
Hódmezővásárhely,620,Csongrád,"46,24,18-20,12,54",2016,fekete nyár,
Szentes,620,Csongrád,"46,38,29-20,11,24",2025,fekete nyár,
Szegvár,619,Csongrád,"46,36,08-20,10,09",2025,fekete nyár,
Körmend,619,Vas,"47,00,26-16,36,35",2015,fekete nyár,"Szél Győző, Torma Zoltán, Torma Zoltánné"
Ásványráró,619,Győr-Moson-Sopron,"47,49,27-17,32,45",2021,fekete nyár,Szél Győző
Makád,619,Pest,"47,05,47-18,53,44",2026,fekete nyár,Baranyai László
Lórév,618,Pest,"47,07,10-18,53,14",2026,fekete nyár,Baranyai László
Kölked,618,Baranya,"45,56,30-18,45,57",2018,fekete nyár,Szél Győző
Nagykáta,618,Pest,"47,23,13-19,44,34",2013,fekete nyár,Lesti Szabolcs; 642/2019; magasság: 36 m/2019
Budapest,618,Pest,"47,32,06-19,03,08",2010,fekete nyár,Baranyai László
Baks,618,Csongrád,"46,29,49-20,10,28",2021,fekete nyár,
Szegvár,618,Csongrád,"46,36,36-20,10,14",2025,fekete nyár,
Békés,618,Békés,"46,49,34-21,06,47",2026,fekete nyár,Varga Zoltán
Érsekcsanád,618,Bács-Kiskun,"46,15,10-18,55,02",2018,szürke nyár,Szél Győző; magasság: 37 m/2018
Ásványráró,618,Győr-Moson-Sopron,"47,49,25-17,32,47",2021,fekete nyár,Szél Győző
Hódmezővásárhely,618,Csongrád,"46,26,32-20,11,53",2016,fekete nyár,
Hódmezővásárhely,617,Csongrád,"46,24,42-20,13,08",2016,fekete nyár,Van még egy alacsonyan elágazó része. 626/2019
Hajdúhadház,617,Hajdú-Bihar,"47,41,11-21,40,44",2002,korai nyár,
Szegvár,617,Csongrád,"46,35,14-20,10,06",2025,fekete nyár,
Hódmezővásárhely,617,Csongrád,"46,26,22-20,12,20",2006,fekete nyár,
Tápióság,616,Pest,"47,22,24-19,35,19",2019,fekete nyár,Lesti Szabolcs; magasság: 33 m/2019
Hódmezővásárhely,616,Csongrád,"46,25,00-20,11,21",2016,fekete nyár,650/2022
Solt,616,Bács-Kiskun,"46,45,10-18,59,37",2018,fekete nyár,Szél Győző
Csongrád,616,Csongrád,"46,43,15-20,09,20",2026,szürke nyár,
Algyő,616,Csongrád,"46,20,51-20,12,39",2020,fekete nyár,
Cún,616,Baranya,"45,47,15-18,05,14",2025,fekete nyár,Torma Zoltán
Kisköre,616,Heves,"47,28,30-20,30,21",2025,fekete nyár,Baranyai László
Hódmezővásárhely,616,Csongrád,"46,24,09-20,13,13",2016,fekete nyár,639/2022
Hódmezővásárhely,615,Csongrád,"46,26,24-20,12,24",2016,fekete nyár,630/2019febr
Hódmezővásárhely,615,Csongrád,"46,24,22-20,13,31",2019,fekete nyár,
Szeged,615,Csongrád,"46,11,35-20,06,39",2021,fekete nyár,
Szatymaz,615,Csongrád,"46,22,46-20,03,28",2019,fekete nyár,Lestyán Csaba; magasság: 33 m/2019
Szekszárd,615,Tolna,"46,20,00-18,48,35",2009,fekete nyár,Elblinger Ferenc
Hódmezővásárhely,615,Csongrád,"46,26,29-20,12,01",2006,fekete nyár,626/2016febr; 638/2019febr
Dóc,615,Csongrád,"46,28,41-20,11,46",2021,fehér nyár,
Mindszent,615,Csongrád,"46,33,29-20,08,39",2025,fekete nyár,
Tiszabura (Pusztataskony),615,Jász-Nagykun-Szolnok,"47,27,50-20,29,47",2025,szürke nyár,Szél Győző
